accession_id,obs_unit_id,CL,DTF1,DTF2,DTF3,Diameter,Length,RBN,RL
6434,21644,4.666666667,29.5,38.0,40.0,10.0,40.66666667,1.333333333,14.5
6445,21645,6.5,37.25,44.0,50.0,12.0,49.0,4.5,24.75
6680,21646,16.0,81.33333333,86.0,92.33333333,12.5,44.0,6.0,72.66666667
6744,21647,8.666666667,35.75,40.75,47.25,18.0,45.0,7.666666667,22.5
6900,21648,11.0,110.5,119.0,121.5,15.0,37.0,0.0,82.0
6909,21649,4.0,28.0,34.5,38.0,13.0,36.0,4.0,16.0
6963,21650,6.75,53.5,57.75,64.25,16.5,45.0,7.0,31.25
6967,21651,5.25,30.75,36.0,42.0,8.0,43.66666667,3.666666667,17.75
6970,21652,7.5,40.0,44.5,50.25,16.66666667,48.66666667,7.333333333,34.75
6974,21653,19.0,110.0,115.75,125.25,16.0,50.0,5.0,
6975,21654,7.5,37.75,41.75,47.25,16.33333333,46.0,6.666666667,25.25
6981,21655,6.0,32.0,37.5,43.0,17.5,49.5,6.0,14.5
6982,21656,3.5,35.25,42.0,44.0,18.66666667,41.66666667,2.333333333,19.25
6984,21657,6.75,37.75,42.25,47.75,17.0,42.66666667,8.0,27.5
6986,21658,5.75,33.75,40.0,43.75,17.33333333,39.33333333,7.0,24.25
6987,21659,8.0,35.5,40.25,47.75,10.0,37.33333333,4.666666667,21.5
6989,21660,6.5,51.25,54.75,61.0,13.66666667,39.5,4.333333333,34.5
6990,21661,11.0,48.75,54.75,60.25,21.0,50.33333333,6.333333333,41.5
6992,21662,6.75,42.0,48.0,54.25,10.0,38.0,3.0,27.25
6997,21663,8.75,43.0,48.5,56.0,12.33333333,40.33333333,4.0,42.0
7000,21664,13.0,41.25,46.25,54.0,12.33333333,34.66666667,1.333333333,36.25
7002,21665,7.75,50.0,54.0,59.0,17.0,47.0,2.0,48.5
7003,21666,7.333333333,38.5,45.0,51.0,17.5,47.66666667,6.0,31.25
7008,21667,14.0,70.5,75.25,95.0,14.5,34.5,4.0,57.5
7013,21668,5.5,28.0,35.5,38.75,15.66666667,53.33333333,4.333333333,16.75
7014,21669,11.66666667,69.33333333,74.0,74.0,14.0,55.0,6.0,60.33333333
7025,21670,8.5,45.75,50.75,52.66666667,15.0,41.0,2.0,40.0
7026,21671,6.0,34.75,41.0,45.5,16.0,45.0,6.666666667,25.0
7028,21672,5.25,26.66666667,34.25,40.25,10.33333333,41.0,5.333333333,19.5
7031,21673,7.5,36.25,40.75,47.25,12.33333333,43.66666667,4.333333333,20.25
7036,21674,8.25,38.5,44.5,50.5,14.5,49.66666667,5.666666667,25.5
7058,21675,9.25,54.25,58.25,66.0,12.66666667,42.0,4.333333333,34.5
7061,21676,8.5,53.75,57.75,64.0,11.66666667,49.66666667,7.333333333,36.0
7062,21677,4.0,28.5,33.25,38.25,16.0,46.0,6.666666667,16.75
7063,21678,10.66666667,39.33333333,43.66666667,51.0,13.0,44.66666667,2.666666667,32.33333333
7064,21679,5.5,54.0,59.33333333,66.66666667,15.5,50.0,6.0,43.66666667
7067,21680,7.0,31.0,37.25,42.25,10.0,40.0,6.0,20.25
7068,21681,9.25,45.5,51.5,56.0,14.66666667,33.33333333,3.333333333,39.25
7071,21682,4.5,35.75,40.75,45.0,18.5,50.66666667,7.666666667,26.75
7072,21683,7.5,52.75,57.0,62.0,14.0,60.0,2.666666667,49.5
7077,21684,5.666666667,32.66666667,37.66666667,44.33333333,,48.0,8.0,22.0
7092,21685,7.5,47.0,51.5,54.25,14.66666667,43.0,4.666666667,50.5
7094,21686,5.5,32.75,37.5,43.25,14.33333333,31.0,6.333333333,16.0
7096,21687,5.5,28.5,36.0,40.25,17.5,46.5,3.5,17.25
7102,21688,12.5,57.5,61.0,71.0,15.33333333,39.0,2.0,59.0
7106,21689,5.5,34.0,40.25,44.5,14.0,48.66666667,3.333333333,19.5
7107,21690,7.75,40.5,45.75,50.75,,41.0,1.0,28.75
7109,21691,5.25,34.25,42.0,45.75,17.5,42.0,3.666666667,24.25
7117,21692,4.0,26.0,31.25,36.5,18.0,52.0,6.0,13.75
7119,21693,7.25,31.25,36.25,41.0,12.0,36.0,4.5,20.0
7120,21694,6.25,31.0,37.0,42.75,15.33333333,50.66666667,6.0,19.75
7125,21695,6.25,32.75,39.75,42.75,13.0,39.33333333,2.666666667,24.0
7126,21696,17.75,76.25,82.75,97.25,11.0,54.0,2.0,54.66666667
7127,21697,5.25,36.25,41.75,45.5,14.0,40.0,6.5,26.75
7130,21698,14.75,62.75,69.5,78.25,13.5,43.5,3.0,57.75
7133,21699,6.25,30.75,39.0,46.25,16.0,50.0,4.333333333,19.25
7138,21700,7.0,60.5,66.5,68.5,20.0,51.0,7.0,45.0
7143,21701,6.5,31.0,38.25,44.5,14.66666667,45.33333333,3.333333333,20.0
7147,21702,8.666666667,39.0,45.33333333,52.66666667,13.33333333,39.66666667,4.666666667,31.66666667
7158,21703,7.25,37.75,42.5,47.75,14.33333333,44.0,5.666666667,33.0
7160,21704,8.25,57.0,59.75,66.5,16.0,51.33333333,5.0,44.75
7161,21705,5.0,29.0,35.33333333,39.33333333,16.0,48.66666667,6.333333333,15.66666667
7162,21706,7.25,32.5,36.5,42.75,12.5,50.0,6.5,17.5
7163,21707,5.0,30.5,38.0,44.0,14.66666667,46.0,5.0,19.5
7164,21708,7.0,52.5,56.5,59.25,13.5,46.0,4.666666667,40.75
7165,21709,6.5,33.0,37.75,43.5,15.33333333,56.66666667,5.333333333,21.25
7169,21710,19.75,65.5,72.75,78.25,14.66666667,33.0,2.666666667,51.75
7177,21711,5.75,33.75,40.25,45.25,11.66666667,35.33333333,5.333333333,17.75
7181,21712,13.66666667,65.0,70.0,97.0,17.5,42.5,6.0,50.66666667
7186,21713,9.5,37.5,42.0,49.75,14.0,47.0,4.0,30.75
7192,21714,7.25,29.5,35.25,42.0,17.5,46.0,11.5,18.5
7199,21715,3.25,27.0,33.5,37.0,20.33333333,63.66666667,7.333333333,14.5
7202,21716,4.0,27.75,35.0,40.75,13.5,51.0,5.666666667,15.25
7203,21717,7.25,33.25,39.25,44.5,11.0,48.66666667,5.666666667,26.5
7207,21718,6.25,40.0,45.5,49.75,19.33333333,47.66666667,6.333333333,25.25
7208,21719,7.0,34.75,40.75,46.0,15.0,37.0,5.0,25.25
7209,21720,5.25,33.75,41.5,45.25,12.66666667,48.0,2.0,17.25
7213,21721,4.0,28.25,38.75,40.0,16.0,37.0,2.0,11.25
7217,21722,5.25,26.25,32.25,38.0,9.666666667,42.0,3.0,15.25
7218,21723,11.33333333,38.75,42.75,51.25,15.66666667,43.33333333,4.666666667,44.0
7223,21724,7.25,42.0,51.5,54.75,17.0,55.0,4.333333333,31.5
7231,21725,5.333333333,34.33333333,39.33333333,45.33333333,9.0,29.66666667,4.333333333,17.0
7236,21726,8.25,37.75,41.75,47.5,11.66666667,31.66666667,0.0,32.5
7244,21727,8.25,34.0,39.5,46.0,15.0,47.66666667,5.333333333,23.5
7248,21728,9.666666667,54.33333333,57.66666667,66.66666667,13.5,49.0,5.25,43.33333333
7250,21729,3.75,26.5,33.75,37.75,13.0,51.5,7.5,11.0
7258,21730,7.25,33.0,39.0,43.5,15.0,48.0,7.0,23.0
7268,21731,5.333333333,31.75,39.5,43.66666667,15.0,34.0,0.0,17.33333333
7273,21732,5.75,31.0,37.0,43.66666667,19.0,54.0,8.0,18.0
7276,21733,8.0,38.0,42.5,49.25,16.0,43.0,7.0,22.25
7280,21734,8.0,36.5,41.5,46.5,6.0,39.5,1.5,30.25
7282,21735,4.75,28.5,34.0,37.5,17.66666667,47.0,3.333333333,17.75
7287,21736,7.666666667,35.25,41.0,48.25,13.0,45.0,5.333333333,28.25
7288,21737,13.0,57.75,62.0,70.25,16.5,54.5,4.0,43.25
7296,21738,7.75,51.5,55.5,62.5,18.0,48.5,4.5,25.0
7298,21739,8.0,42.5,48.5,53.25,16.33333333,51.66666667,4.0,36.75
7305,21740,8.5,38.25,42.25,51.5,16.33333333,41.33333333,2.0,23.75
7306,21741,5.333333333,36.75,43.5,49.75,24.0,47.33333333,5.666666667,24.5
7307,21742,14.0,61.0,66.0,72.33333333,12.0,39.33333333,5.333333333,45.0
7314,21743,5.5,30.25,36.5,42.25,10.0,45.66666667,2.666666667,15.5
7316,21744,15.0,77.0,83.5,89.25,19.0,57.66666667,6.666666667,51.33333333
7319,21745,11.5,41.5,46.75,52.75,19.5,44.0,7.333333333,35.5
7320,21746,8.5,63.75,69.0,74.5,11.0,44.0,4.0,36.75
7322,21747,13.25,42.75,47.25,51.75,15.0,43.33333333,1.5,40.0
7328,21748,6.75,40.0,44.75,51.33333333,14.0,39.66666667,1.333333333,32.75
7333,21749,5.0,29.0,35.5,39.75,17.0,46.5,3.5,17.25
7337,21750,7.5,34.5,37.75,47.5,18.66666667,51.0,6.0,27.75
7342,21751,10.5,56.25,61.5,65.0,13.0,38.5,1.0,50.0
7343,21752,10.75,39.5,43.0,51.25,13.5,45.66666667,2.666666667,36.5
7344,21753,7.0,36.66666667,42.0,47.66666667,20.66666667,38.66666667,0.0,26.66666667
7346,21754,8.333333333,49.33333333,52.0,58.66666667,10.5,42.5,4.0,35.0
7347,21755,7.0,39.0,43.25,47.0,11.66666667,41.0,3.0,34.5
7349,21756,6.666666667,41.5,47.0,52.75,13.0,40.33333333,5.5,35.75
7350,21757,7.0,39.33333333,44.66666667,52.0,15.0,44.5,6.5,35.0
7353,21758,8.5,62.25,68.75,70.5,16.0,29.5,9.0,53.0
7354,21759,16.0,96.0,100.0,108.3333333,17.0,12.5,3.5,71.0
7356,21760,10.66666667,53.33333333,57.33333333,64.33333333,19.33333333,35.0,2.0,44.75
7372,21761,10.0,36.5,49.25,54.5,16.0,45.66666667,3.666666667,32.5
7373,21762,9.5,43.0,46.75,54.75,23.5,49.66666667,5.666666667,36.75
7377,21763,9.5,49.0,53.0,59.75,16.66666667,49.33333333,4.666666667,35.5
7378,21764,10.0,42.75,46.5,52.0,16.0,49.33333333,6.333333333,42.25
7382,21765,5.25,28.5,34.25,40.0,8.0,39.66666667,2.666666667,17.25
7383,21766,5.5,27.0,36.0,38.0,11.33333333,46.33333333,6.333333333,14.75
7387,21767,3.25,31.75,36.75,41.25,20.0,45.66666667,0.0,13.0
7394,21768,3.5,28.75,37.75,41.75,9.666666667,40.66666667,4.0,13.0
7396,21769,10.5,57.0,45.25,51.5,21.33333333,52.66666667,8.0,42.25
7404,21770,6.666666667,31.75,52.25,41.33333333,9.333333333,36.0,3.666666667,17.5
7411,21771,7.5,43.5,46.0,54.0,22.0,57.0,8.5,31.0
7413,21772,5.75,36.0,42.25,48.0,19.5,47.66666667,2.0,30.5
7415,21773,6.0,34.5,40.75,45.25,18.0,59.0,3.666666667,27.25
7416,21774,11.33333333,65.33333333,69.66666667,78.66666667,12.0,39.0,4.5,56.33333333
7418,21775,8.75,36.25,40.25,46.25,12.0,46.66666667,6.0,20.25
7419,21776,5.75,32.75,38.75,43.25,14.0,32.0,8.0,20.5
7424,21777,2.5,25.0,31.0,35.5,15.66666667,44.66666667,5.0,12.5
7427,21778,11.33333333,81.25,87.5,91.5,17.5,31.5,3.0,49.0
7460,21779,4.25,30.0,34.5,37.0,15.0,41.0,7.0,17.5
7471,21780,3.0,24.75,29.75,34.0,10.0,43.33333333,6.666666667,9.5
7477,21781,11.0,38.25,43.75,52.25,13.66666667,44.33333333,3.666666667,28.25
7516,21782,20.0,108.0,117.6666667,117.0,14.0,52.0,5.0,69.5
7717,21783,11.66666667,67.0,71.0,76.25,,48.0,,48.25
7917,21784,17.75,55.0,62.0,68.75,16.0,38.0,6.0,56.25
7947,21785,9.0,72.0,76.75,81.5,19.33333333,42.66666667,5.0,62.5
8077,21786,7.25,46.75,51.75,57.75,17.5,32.5,4.0,43.5
8132,21787,9.0,51.66666667,56.66666667,67.33333333,15.0,38.5,1.5,41.33333333
8222,21788,11.5,84.25,88.25,93.25,17.0,27.0,0.0,49.5
8233,21789,9.0,59.75,63.25,69.25,15.33333333,33.0,5.0,49.0
8235,21790,10.5,58.25,62.0,68.75,15.0,37.5,9.5,50.75
8236,21791,7.333333333,53.66666667,58.33333333,64.66666667,15.0,51.33333333,2.666666667,41.66666667
8238,21792,9.75,42.25,48.0,52.25,17.0,46.0,0.0,35.25
8239,21793,6.25,30.5,37.5,42.5,18.0,43.0,4.0,19.5
8241,21794,15.5,52.75,57.5,66.25,17.0,26.0,0.0,48.0
8242,21795,17.0,121.6666667,131.0,132.0,20.0,31.0,0.0,
8243,21796,13.5,54.5,58.0,68.25,13.0,42.66666667,4.5,57.0
